20908800  0   243 30/08/2000
20995200 10.2 244 31/08/2000
21081600  0   245 01/09/2000
21168000  0   246 02/09/2000
21254400  0   247 03/09/2000
21340800  5.9 248 04/09/2000
21427200  0   249 05/09/2000
21513600  0   250 06/09/2000
21600000 14   251 07/09/2000
21686400  0   252 08/09/2000
21772800  0   253 09/09/2000
21859200  0   254 10/09/2000
21945600  0   255 11/09/2000
22032000  0   256 12/09/2000
22118400  0   257 13/09/2000
22204800  0   258 14/09/2000
22291200  0   259 15/09/2000
22377600  0   260 16/09/2000
22464000  3   261 17/09/2000
22550400  0   262 18/09/2000
22636800 18   263 19/09/2000
22723200  0.2 264 20/09/2000
22809600  4   265 21/09/2000
22896000  0   266 22/09/2000
22982400  0.6 267 23/09/2000
23068800  0   268 24/09/2000
23155200  0   269 25/09/2000
23241600  0   270 26/09/2000
23328000  0   271 27/09/2000
23414400  0   272 28/09/2000
23500800  0.8 273 29/09/2000
23587200 50.6 274 30/09/2000
23673600 11.1 275 01/10/2000
23760000  0   276 02/10/2000
23846400  1.2 277 03/10/2000
23932800  0   278 04/10/2000
24019200  0   279 05/10/2000
24105600  1.5 280 06/10/2000
24192000 57.8 281 07/10/2000
24278400 52   282 08/10/2000
24364800  2.1 283 09/10/2000
24451200  0.4 284 10/10/2000
24537600  0.3 285 11/10/2000
24624000  0.6 286 12/10/2000
24710400  0.1 287 13/10/2000
24796800  0.2 288 14/10/2000
24883200  1.2 289 15/10/2000
24969600  0   290 16/10/2000
25056000  0.1 291 17/10/2000
25142400  0   292 18/10/2000
25228800  0   293 19/10/2000
25315200  0   294 20/10/2000
25401600  0   295 21/10/2000
25488000  0   296 22/10/2000
25574400  0   297 23/10/2000
25660800  0   298 24/10/2000
25747200  0   299 25/10/2000
25833600  0   300 26/10/2000
25920000  0   301 27/10/2000
26006400  0   302 28/10/2000
26092800  0   303 29/10/2000
26179200  1.3 304 30/10/2000
26265600  0.3 305 31/10/2000
26352000  3   306 01/11/2000
26438400  0   307 02/11/2000
26524800 14.7 308 03/11/2000
26611200  9   309 04/11/2000
26697600  0   310 05/11/2000
26784000 11.1 311 06/11/2000
26870400 17.1 312 07/11/2000
26956800  0.2 313 08/11/2000
27043200  2.2 314 09/11/2000
27129600  0.2 315 10/11/2000
27216000  0   316 11/11/2000
27302400  0   317 12/11/2000
27388800  3   318 13/11/2000
27475200  5.5 319 14/11/2000
27561600  7.8 320 15/11/2000
27648000 13.6 321 16/11/2000
27734400  1.5 322 17/11/2000
27820800  0   323 18/11/2000
27907200  0   324 19/11/2000
27993600  7.2 325 20/11/2000
28080000 23.3 326 21/11/2000
28166400  0   327 22/11/2000
28252800  0.2 328 23/11/2000
28339200 12.5 329 24/11/2000
28425600  2.2 330 25/11/2000
28512000  0.2 331 26/11/2000
28598400  0   332 27/11/2000
28684800  0   333 28/11/2000
28771200  0   334 29/11/2000
28857600  0   335 30/11/2000
28944000  0   336 01/12/2000
29030400  0   337 02/12/2000
29116800  0.3 338 03/12/2000
29203200  0   339 04/12/2000
29289600  0.1 340 05/12/2000
29376000  0   341 06/12/2000
29462400  0   342 07/12/2000
29548800  0.2 343 08/12/2000
29635200  0.5 344 09/12/2000
29721600  0   345 10/12/2000
29808000  0   346 11/12/2000
29894400  0   347 12/12/2000
29980800  0   348 13/12/2000
30067200  0   349 14/12/2000
30153600  0   350 15/12/2000
30240000  0   351 16/12/2000
30326400  0   352 17/12/2000
30412800  0   353 18/12/2000
30499200  0   354 19/12/2000
30585600  0   355 20/12/2000
30672000  0   356 21/12/2000
30758400  0   357 22/12/2000
30844800  0   358 23/12/2000
30931200  0   359 24/12/2000
31017600 10.8 360 25/12/2000
31104000 11.4 361 26/12/2000
31190400 13.2 362 27/12/2000
31276800  5.2 363 28/12/2000
31363200  0.3 364 29/12/2000
31449600 14.7 365 30/12/2000
31536000  0   366 31/12/2000
31622400  0   367 31/12/2000
