2009-01-09::23:00:00 -0.775000E-01
2009-01-10::00:00:00 -0.530000E-01
2009-01-10::01:00:00 -0.291000E-01
2009-01-10::02:00:00 -0.128000E-01
2009-01-10::03:00:00 -0.810000E-02
2009-01-10::04:00:00 -0.125000E-01
2009-01-10::05:00:00 -0.188000E-01
2009-01-10::06:00:00 -0.190000E-01
2009-01-10::07:00:00 -0.101000E-01
2009-01-10::08:00:00  0.470000E-02
2009-01-10::09:00:00  0.202000E-01
2009-01-10::10:00:00  0.327000E-01
2009-01-10::11:00:00  0.415000E-01
2009-01-10::12:00:00  0.464000E-01
2009-01-10::13:00:00  0.442000E-01
2009-01-10::14:00:00  0.293000E-01
2009-01-10::15:00:00 -0.170000E-02
2009-01-10::16:00:00 -0.466000E-01
2009-01-10::17:00:00 -0.957000E-01
2009-01-10::18:00:00 -0.137400    
2009-01-10::19:00:00 -0.163900    
2009-01-10::20:00:00 -0.174300    
2009-01-10::21:00:00 -0.172700    
2009-01-10::22:00:00 -0.162600    
2009-01-10::23:00:00 -0.144900    
2009-01-11::00:00:00 -0.119800    
2009-01-11::01:00:00 -0.903000E-01
2009-01-11::02:00:00 -0.635000E-01
2009-01-11::03:00:00 -0.470000E-01
2009-01-11::04:00:00 -0.439000E-01
2009-01-11::05:00:00 -0.490000E-01
2009-01-11::06:00:00 -0.530000E-01
2009-01-11::07:00:00 -0.487000E-01
2009-01-11::08:00:00 -0.353000E-01
2009-01-11::09:00:00 -0.179000E-01
2009-01-11::10:00:00 -0.210000E-02
2009-01-11::11:00:00  0.980000E-02
2009-01-11::12:00:00  0.186000E-01
2009-01-11::13:00:00  0.235000E-01
2009-01-11::14:00:00  0.200000E-01
2009-01-11::15:00:00  0.150000E-02
2009-01-11::16:00:00 -0.345000E-01
2009-01-11::17:00:00 -0.829000E-01
2009-01-11::18:00:00 -0.131600    
2009-01-11::19:00:00 -0.169000    
2009-01-11::20:00:00 -0.189400    
2009-01-11::21:00:00 -0.194600    
2009-01-11::22:00:00 -0.189600    
2009-01-11::23:00:00 -0.176900    
2009-01-12::00:00:00 -0.156300    
2009-01-12::01:00:00 -0.127800    
2009-01-12::02:00:00 -0.962000E-01
2009-01-12::03:00:00 -0.700000E-01
2009-01-12::04:00:00 -0.569000E-01
2009-01-12::05:00:00 -0.570000E-01
2009-01-12::06:00:00 -0.628000E-01
2009-01-12::07:00:00 -0.641000E-01
2009-01-12::08:00:00 -0.554000E-01
2009-01-12::09:00:00 -0.389000E-01
2009-01-12::10:00:00 -0.206000E-01
2009-01-12::11:00:00 -0.550000E-02
2009-01-12::12:00:00  0.600000E-02
2009-01-12::13:00:00  0.155000E-01
2009-01-12::14:00:00  0.209000E-01
2009-01-12::15:00:00  0.162000E-01
2009-01-12::16:00:00 -0.520000E-02
2009-01-12::17:00:00 -0.441000E-01
2009-01-12::18:00:00 -0.920000E-01
2009-01-12::19:00:00 -0.136000    
2009-01-12::20:00:00 -0.165800    
2009-01-12::21:00:00 -0.178900    
2009-01-12::22:00:00 -0.179400    
